X_features	Y_features	association	p-values	q-values
Unclassified	NCRNA00185_55410	0.06437586845761928	0.30582954454443617	0.7350680704596714
Unclassified	FOLH1_2346	-0.16918567623899955	0.006769944305838038	0.17305674531092996
Unclassified	NA_84663	0.08126881658175081	0.19583002488159995	0.6361178045217049
Unclassified	BTNL3_10917	0.18144106067623902	0.0036454464687921784	0.13307106807661084
Unclassified	SLC6A4_6532	0.14149562876331634	0.023834645667184056	0.2903212919174399
Unclassified	CUBN_8029	0.22747365678554887	0.0002495225038500908	0.045712522705336635
Unclassified	FCRL3_115352	0.010428004863362669	0.8683865465911275	0.9696292078370602
Unclassified	MFAP5_8076	0.2428648969430292	8.928388052286976e-05	0.03388577758287667
Unclassified	CLDN8_9073	-0.024009234599351555	0.7027817528792228	0.9250559042440182
Unclassified	IL1B_3553	-0.161306594488189	0.009876520681504172	0.20432231790200747
Unclassified	IGLV6-57_28778	-0.17210152269569245	0.00586335010317894	0.16208474183602112
Unclassified	GSTA2_2939	0.06502648795738768	0.30095703559759934	0.7321311005667419
Unclassified	SLC2A12_154091	0.16053439092172303	0.010240285254447819	0.2071467585292464
Unclassified	TMPRSS15_5651	-0.17546462482630848	0.004953958020701909	0.151071171437413
Unclassified	EIF1AY_9086	-0.01674892890226957	0.7901132314575148	0.9490725170016044
Unclassified	REG1B_5968	-0.026034911996294582	0.6790412518975864	0.916890065020653
Unclassified	CXCL11_6373	-0.13667713640574342	0.029103189338354547	0.31512972027795094
Unclassified	GPR15_2838	0.002018440250115794	0.9744133715226202	0.9950734687724008
Unclassified	SLC10A2_6555	0.03375405280222325	0.591603546565715	0.8863119437607454
Unclassified	ZG16_653808	-0.15455361278369614	0.013482573349029296	0.23201639823071135
Unclassified	TAS2R43_259289	0.05454348077813803	0.38574688048621664	0.7904367231123566
Unclassified	ZFY_7544	0.030270814034275128	0.6304301392847329	0.9011633356520946
Unclassified	APOC3_345	0.0951677570634553	0.12959955560559816	0.5479749957731048
Unclassified	MS4A10_341116	0.09394250810560445	0.13463236580340146	0.5565643834093028
Unclassified	TCN1_6947	-0.043786185734136174	0.48636119400711886	0.8415206561300222
Unclassified	TM4SF4_7104	0.05788487146827235	0.3572707697250741	0.7711655113692412
Unclassified	SLC2A2_6514	0.21923995484020378	0.00042063876472537957	0.053761832427994184
Unclassified	SLC23A1_9963	0.14958386405743399	0.01683042916165646	0.2529811800472156
Unclassified	CASP5_838	-0.12474669986104678	0.04658673549160796	0.37670681267094686
Unclassified	RBP2_5948	-0.042050717924965265	0.5038190866914156	0.849515817985387
Unclassified	SNORA36A_677817	-0.05264517716535433	0.40252148862940595	0.8001934491672624
Unclassified	MS4A12_54860	-0.12930610236220474	0.03907669229769056	0.35206016415198677
Unclassified	CEACAM7_1087	-0.13470863246873555	0.03152623681249895	0.3249103613889406
Unclassified	SNORD45B_26804	-0.03721992241778601	0.5540920491213273	0.8704950985265242
Unclassified	UTY_7404	0.07477999073645207	0.23406972817693036	0.6767369662860018
Unclassified	ABCC2_1244	0.03435184113015285	0.5850514872966743	0.8832121591446466
Unclassified	PIK3C2G_5288	0.14962222093561836	0.01680203692899383	0.25275519789704576
Unclassified	CA1_759	-0.21054814150069479	0.0007152265123902751	0.06838700264608476
Unclassified	PGC_5225	-0.002880384437239463	0.9634934391164681	0.9921633221114722
Unclassified	PDZK1_5174	0.14351406901343214	0.021885132657733265	0.2814953546373678
Unclassified	ITLN2_142683	-0.064151516905975	0.3075217088589037	0.7358322974185681
Unclassified	CYP4F11_57834	-0.018393208661417325	0.7700590349561	0.944402297522811
Unclassified	NTS_4922	0.16093460514126912	0.01005030126009255	0.20529539900763194
Unclassified	CR1_1378	-0.00031336845761926823	0.9960269441103625	0.9993802703394753
Unclassified	NOX1_27035	-0.11699137332098193	0.06212050393674316	0.42250060592557714
Unclassified	APOA1_335	0.18365490389069014	0.003246271440403173	0.12790009154755003
Unclassified	DSG3_1830	-0.13149316813339512	0.0358537894549882	0.34066337765140625
Unclassified	PRKG2_5593	0.13936935502547476	0.02604848312970994	0.3025263125228253
Unclassified	BEST2_54831	-0.04267238883742473	0.4975278579722968	0.8464884951810685
Unclassified	SLCO4C1_353189	-0.07112016558591941	0.25782296584023023	0.6978536039888221
Unclassified	CYP4F2_8529	0.09897811486799445	0.11487325639026148	0.5262935881851352
Unclassified	RPS4Y1_6192	0.05042409680407596	0.42269041059601165	0.8097009807421849
Unclassified	C17orf78_284099	0.17625781611857344	0.004758883726140413	0.14879120822378405
Unclassified	SLC44A5_204962	0.1319194360815192	0.03525260906408424	0.33874577295767266
Unclassified	HSD3B1_3283	0.03296809865678555	0.6002686106065889	0.8892868305282797
Unclassified	ENPP3_5169	0.15002967230199166	0.0165030071370149	0.2511923319625398
Unclassified	VTRNA1-2_56663	-0.1627735641500695	0.009216866782184757	0.19772351282831094
Unclassified	USP9Y_8287	0.04919161069939786	0.4341315148793281	0.8164789973493197
Unclassified	TLR10_81793	0.019953537517369155	0.7511688183829438	0.9390891737938809
Unclassified	DUOX2_50506	-0.1027486683649838	0.10162232813779101	0.503985124928081
Unclassified	TXLNG2P_246126	0.04522637795275591	0.472124214484297	0.8344571845552735
Unclassified	LCT_3938	-0.004509466188050024	0.9428748983794428	0.9877263315102586
Unclassified	TRPM6_140803	0.15877504052802224	0.011113667766096917	0.2135092213453183
Unclassified	RARRES1_5918	-0.08384741199629457	0.1819716033707098	0.6197423573733395
Unclassified	GUCA2B_2981	0.15669870310328857	0.012228506818120977	0.22349711265966854
Unclassified	ABCG2_9429	0.09469517137563688	0.13152325684475805	0.5511025006985296
Unclassified	SULT2A1_6822	0.16356747915701714	0.008876421623086992	0.19414522938748055
Unclassified	FCRL5_83416	-0.12669276864289022	0.04324523418504223	0.367853865150568
Unclassified	CDHR1_92211	0.14351624015748032	0.02188311223819142	0.2814953546373678
Unclassified	CYP2C8_1558	0.10501751389532192	0.0942512724261074	0.4913361137639448
Unclassified	PI15_51050	-0.029797504631773976	0.6357884512917132	0.9027770086684781
Unclassified	MME_4311	0.1653753184344604	0.008142525144240102	0.18581347862790068
Unclassified	GABRA2_2555	0.1312492762853173	0.036201651235922214	0.3416516848558082
Unclassified	WDR49_151790	0.2762549212598425	7.562945689297747e-06	0.01468837845516825
Unclassified	UGT2A3_79799	0.14647550949513663	0.019274948539924227	0.2687363152028775
Unclassified	GUCA2A_2980	0.15784072487262624	0.01160371097605454	0.21856017566873406
Unclassified	TDO2_6999	-0.02459110120426123	0.6959316151145674	0.9226818227933632
Unclassified	DDX3Y_8653	0.11285317276516907	0.07201582591888425	0.44723048502846086
